ESR Covid-19 Dashboard,,,,,,,,,,,,,
Data downloaded: 04/12/2020 10:32,,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Region,Daily imported cases,Daily import-related cases,Daily locally acquired cases  epidemiologically linked,Daily locally acquired cases  unknown source,Daily under investigation,Daily total cases,Cumulative imported cases,Cumulative import-related cases,Cumulative locally acquired cases  epidemiologically linked,Cumulative locally acquired cases  unknown source,Cumulative under investigation,Cumulative total cases
03/12/2020,Auckland,2,0,0,0,0,2,194,25,122,12,0,353
03/12/2020,Bay of Plenty,0,0,0,0,0,0,22,16,5,5,0,48
03/12/2020,Canterbury,0,0,0,0,0,0,141,18,99,7,0,265
03/12/2020,Capital and Coast,0,0,0,0,0,0,56,38,4,1,0,99
03/12/2020,Counties Manukau,1,0,0,0,0,1,186,26,120,13,0,345
03/12/2020,Hawke's Bay,0,0,0,0,0,0,21,14,8,1,0,44
03/12/2020,Hutt Valley,0,0,0,0,0,0,14,8,2,0,0,24
03/12/2020,Lakes,0,0,0,0,0,0,12,2,0,2,0,16
03/12/2020,Midcentral,0,0,0,0,0,0,20,6,6,0,0,32
03/12/2020,Nelson Marlborough,0,0,0,0,0,0,27,15,4,4,0,50
03/12/2020,Northland,0,0,0,0,0,0,12,7,4,5,0,28
03/12/2020,South Canterbury,0,0,0,0,0,0,5,2,4,6,0,17
03/12/2020,Southern,0,0,0,0,0,0,52,131,14,19,0,216
03/12/2020,Tairawhiti,0,0,0,0,0,0,2,2,0,0,0,4
03/12/2020,Taranaki,0,0,0,0,0,0,14,2,0,0,0,16
03/12/2020,Waikato,0,0,0,0,0,0,55,133,4,2,0,194
03/12/2020,Wairarapa,0,0,0,0,0,0,4,3,0,1,0,8
03/12/2020,Waitemata,0,0,0,0,0,0,86,29,174,7,0,296
03/12/2020,West Coast,0,0,0,0,0,0,1,1,1,2,0,5
03/12/2020,Whanganui,0,0,0,0,0,0,7,0,0,2,0,9
02/12/2020,Auckland,1,0,0,0,0,1,192,25,122,12,0,351
02/12/2020,Bay of Plenty,0,0,0,0,0,0,22,16,5,5,0,48
02/12/2020,Canterbury,0,0,0,0,0,0,141,18,99,7,0,265
02/12/2020,Capital and Coast,0,0,0,0,0,0,56,38,4,1,0,99
02/12/2020,Counties Manukau,0,0,0,0,0,0,185,26,120,13,0,344
02/12/2020,Hawke's Bay,0,0,0,0,0,0,21,14,8,1,0,44
02/12/2020,Hutt Valley,0,0,0,0,0,0,14,8,2,0,0,24
02/12/2020,Lakes,0,0,0,0,0,0,12,2,0,2,0,16
02/12/2020,Midcentral,0,0,0,0,0,0,20,6,6,0,0,32
02/12/2020,Nelson Marlborough,0,0,0,0,0,0,27,15,4,4,0,50
02/12/2020,Northland,0,0,0,0,0,0,12,7,4,5,0,28
02/12/2020,South Canterbury,0,0,0,0,0,0,5,2,4,6,0,17
02/12/2020,Southern,0,0,0,0,0,0,52,131,14,19,0,216
02/12/2020,Tairawhiti,0,0,0,0,0,0,2,2,0,0,0,4
02/12/2020,Taranaki,0,0,0,0,0,0,14,2,0,0,0,16
02/12/2020,Waikato,0,0,0,0,0,0,55,133,4,2,0,194
02/12/2020,Wairarapa,0,0,0,0,0,0,4,3,0,1,0,8
02/12/2020,Waitemata,0,0,0,0,0,0,86,29,174,7,0,296
02/12/2020,West Coast,0,0,0,0,0,0,1,1,1,2,0,5
02/12/2020,Whanganui,0,0,0,0,0,0,7,0,0,2,0,9
01/12/2020,Auckland,0,0,0,0,0,0,191,25,122,12,0,350
01/12/2020,Bay of Plenty,0,0,0,0,0,0,22,16,5,5,0,48
01/12/2020,Canterbury,3,0,0,0,0,3,141,18,99,7,0,265
01/12/2020,Capital and Coast,0,0,0,0,0,0,56,38,4,1,0,99
01/12/2020,Counties Manukau,0,0,0,0,0,0,185,26,120,13,0,344
01/12/2020,Hawke's Bay,0,0,0,0,0,0,21,14,8,1,0,44
01/12/2020,Hutt Valley,0,0,0,0,0,0,14,8,2,0,0,24
01/12/2020,Lakes,0,0,0,0,0,0,12,2,0,2,0,16
01/12/2020,Midcentral,0,0,0,0,0,0,20,6,6,0,0,32
01/12/2020,Nelson Marlborough,0,0,0,0,0,0,27,15,4,4,0,50
01/12/2020,Northland,0,0,0,0,0,0,12,7,4,5,0,28
01/12/2020,South Canterbury,0,0,0,0,0,0,5,2,4,6,0,17
01/12/2020,Southern,0,0,0,0,0,0,52,131,14,19,0,216
01/12/2020,Tairawhiti,0,0,0,0,0,0,2,2,0,0,0,4
01/12/2020,Taranaki,0,0,0,0,0,0,14,2,0,0,0,16
01/12/2020,Waikato,0,0,0,0,0,0,55,133,4,2,0,194
01/12/2020,Wairarapa,0,0,0,0,0,0,4,3,0,1,0,8
01/12/2020,Waitemata,0,0,0,0,0,0,86,29,174,7,0,296
01/12/2020,West Coast,0,0,0,0,0,0,1,1,1,2,0,5
01/12/2020,Whanganui,0,0,0,0,0,0,7,0,0,2,0,9
30/11/2020,Auckland,1,0,0,0,0,1,191,25,122,12,0,350
30/11/2020,Bay of Plenty,0,0,0,0,0,0,22,16,5,5,0,48
30/11/2020,Canterbury,3,0,0,0,0,3,138,18,99,7,0,262
30/11/2020,Capital and Coast,0,0,0,0,0,0,56,38,4,1,0,99
30/11/2020,Counties Manukau,1,0,0,0,0,1,185,26,120,13,0,344
30/11/2020,Hawke's Bay,0,0,0,0,0,0,21,14,8,1,0,44
30/11/2020,Hutt Valley,0,0,0,0,0,0,14,8,2,0,0,24
30/11/2020,Lakes,0,0,0,0,0,0,12,2,0,2,0,16
30/11/2020,Midcentral,0,0,0,0,0,0,20,6,6,0,0,32
30/11/2020,Nelson Marlborough,0,0,0,0,0,0,27,15,4,4,0,50
30/11/2020,Northland,0,0,0,0,0,0,12,7,4,5,0,28
30/11/2020,South Canterbury,0,0,0,0,0,0,5,2,4,6,0,17
30/11/2020,Southern,0,0,0,0,0,0,52,131,14,19,0,216
30/11/2020,Tairawhiti,0,0,0,0,0,0,2,2,0,0,0,4
30/11/2020,Taranaki,0,0,0,0,0,0,14,2,0,0,0,16
30/11/2020,Waikato,0,0,0,0,0,0,55,133,4,2,0,194
30/11/2020,Wairarapa,0,0,0,0,0,0,4,3,0,1,0,8
30/11/2020,Waitemata,0,0,0,0,0,0,86,29,174,7,0,296
30/11/2020,West Coast,0,0,0,0,0,0,1,1,1,2,0,5
30/11/2020,Whanganui,0,0,0,0,0,0,7,0,0,2,0,9
29/11/2020,Auckland,0,0,0,0,0,0,190,25,122,12,0,349
29/11/2020,Bay of Plenty,0,0,0,0,0,0,22,16,5,5,0,48
29/11/2020,Canterbury,0,0,0,0,0,0,135,18,99,7,0,259
29/11/2020,Capital and Coast,0,0,0,0,0,0,56,38,4,1,0,99
29/11/2020,Counties Manukau,3,0,0,0,0,3,184,26,120,13,0,343
29/11/2020,Hawke's Bay,0,0,0,0,0,0,21,14,8,1,0,44
29/11/2020,Hutt Valley,0,0,0,0,0,0,14,8,2,0,0,24
29/11/2020,Lakes,0,0,0,0,0,0,12,2,0,2,0,16
29/11/2020,Midcentral,0,0,0,0,0,0,20,6,6,0,0,32
29/11/2020,Nelson Marlborough,0,0,0,0,0,0,27,15,4,4,0,50
29/11/2020,Northland,0,0,0,0,0,0,12,7,4,5,0,28
29/11/2020,South Canterbury,0,0,0,0,0,0,5,2,4,6,0,17
29/11/2020,Southern,0,0,0,0,0,0,52,131,14,19,0,216
29/11/2020,Tairawhiti,0,0,0,0,0,0,2,2,0,0,0,4
29/11/2020,Taranaki,0,0,0,0,0,0,14,2,0,0,0,16
29/11/2020,Waikato,0,0,0,0,0,0,55,133,4,2,0,194
29/11/2020,Wairarapa,0,0,0,0,0,0,4,3,0,1,0,8
29/11/2020,Waitemata,0,0,0,0,0,0,86,29,174,7,0,296
29/11/2020,West Coast,0,0,0,0,0,0,1,1,1,2,0,5
29/11/2020,Whanganui,0,0,0,0,0,0,7,0,0,2,0,9
28/11/2020,Auckland,2,0,0,0,0,2,190,25,122,12,0,349
28/11/2020,Bay of Plenty,0,0,0,0,0,0,22,16,5,5,0,48
28/11/2020,Canterbury,1,0,0,0,0,1,135,18,99,7,0,259
28/11/2020,Capital and Coast,0,0,0,0,0,0,56,38,4,1,0,99
28/11/2020,Counties Manukau,1,0,0,0,0,1,181,26,120,13,0,340
28/11/2020,Hawke's Bay,0,0,0,0,0,0,21,14,8,1,0,44
28/11/2020,Hutt Valley,0,0,0,0,0,0,14,8,2,0,0,24
28/11/2020,Lakes,0,0,0,0,0,0,12,2,0,2,0,16
28/11/2020,Midcentral,0,0,0,0,0,0,20,6,6,0,0,32
28/11/2020,Nelson Marlborough,0,0,0,0,0,0,27,15,4,4,0,50
28/11/2020,Northland,0,0,0,0,0,0,12,7,4,5,0,28
28/11/2020,South Canterbury,0,0,0,0,0,0,5,2,4,6,0,17
28/11/2020,Southern,0,0,0,0,0,0,52,131,14,19,0,216
28/11/2020,Tairawhiti,0,0,0,0,0,0,2,2,0,0,0,4
28/11/2020,Taranaki,0,0,0,0,0,0,14,2,0,0,0,16
28/11/2020,Waikato,0,0,0,0,0,0,55,133,4,2,0,194
28/11/2020,Wairarapa,0,0,0,0,0,0,4,3,0,1,0,8
28/11/2020,Waitemata,0,0,0,0,0,0,86,29,174,7,0,296
28/11/2020,West Coast,0,0,0,0,0,0,1,1,1,2,0,5
28/11/2020,Whanganui,0,0,0,0,0,0,7,0,0,2,0,9
27/11/2020,Auckland,1,0,0,0,0,1,188,25,122,12,0,347
27/11/2020,Bay of Plenty,0,0,0,0,0,0,22,16,5,5,0,48
27/11/2020,Canterbury,1,0,0,0,0,1,134,18,99,7,0,258
27/11/2020,Capital and Coast,0,0,0,0,0,0,56,38,4,1,0,99
27/11/2020,Counties Manukau,1,0,0,0,0,1,180,26,120,13,0,339
